,LoanID,Loanscore,Subject..Property.City,Subject..PropertyState,distancemiles,Male.Female,curbal,OrigTransdays,Origination.UPB,Repeat,Lending.Value,Interest.Rate,LTV,Credit.Score,Open.Current.Mortgage.Late,Closed.Past.Mortgage.Late,Foreclosure,Open.Current.Auto.Late,Closed.Past.Auto.Late,Open.Current.Revolving.Late,Closed.Revolving.Late,Open.Current.Education.Late,Closed.Past.Education.Late,Open.Current.Installment.Late,Closed.Past.Installment.Late,Bankrupcy,Charge.offs,Collections,Debt.High.Credit....,DOM,Yearbuilt,X..of.comarable.properties,Comparable.properties.lower.price,Comparable.properties.upper.price,X..of.comparable.sales,Comparable.sale.lower.price.range,Comparable.sale.upper.price.range,Rooms,Bedrooms,Baths,Square.feet.of.gross.living.area,Sale.Price,Price.of.Prior.Sale.Transfer,Appraisal.price,Indicated.Value.by.Cost.Approach,Indicated.Value.by.Income.Approach,Appraisal.Monthly.Rent,Market.Rent,Total...of.Comarable.Sales...prior.7.12.months.,Total...of.Comarable.Sales...prior.4.6.months.,Total...of.Comarable.Sales...prior.current.3.months.,Absorption.Rate...prior.7.12.months.,Absorption.Rate...prior.4.6.months.,Absorption.Rate...prior.current.3.months.,Total...of.Comparable.Active.listings.prior.7.12.months.,Total...of.Comparable.Active.listings.prior.4.6.months.,Total...of.Comparable.Active.listings.prior.current.3.months.,Median.Comparable.Sale.Price..prior.7.12.months.,Median.Comparable.Sale.Price..prior.4.6.months.,Median.Comparable.Sale.Price..prior.current.3.months.,Median.Comparable.sales.Days.on.market.prior.7.12.months.,Median.Comparable.sales.Days.on.market.prior.4.6.months.,Median.Comparable.sales.Days.on.market.prior.current.3.months.,Median.Comparable.List.Price.prior.7.12.months.,Median.Comparable.List.Price.prior.4.6.months.,Median.Comparable.List.Price.prior.current.3.months.,median.Comparable.listings.Days.on.Market.prior.7.12.months.,median.Comparable.listings.Days.on.Market.prior.4.6.months.,median.Comparable.listings.Days.on.Market.prior.current.3.months.,Median.Sale.Price.a.s..of.List.Price.prior.7.12.months.,Median.Sale.Price.a.s..of.List.Price.prior.4.6.months.,Median.Sale.Price.a.s..of.List.Price.prior.current.3.months.,Months.of.Housing.Supply.prior.7.12.months.,Months.of.Housing.Supply.prior.4.6.months.,Months.of.Housing.Supply.prior.current.3.months.,Foreclosure.sales,VFS.Internal.Value,WLV,X..of.home.purchased.in.last.3.years,X..of.years.investing,X..of.Properties.currently.owned,Current.Rent,Borrower.Rent,Expected.cost.to.Rehab63,Expected.flip.price,Borrower.Age.Group,Size,Origination.Quarter,Loan.Type,Loan.Term,Loan.Purpose,Prime.Sub.Prime,Current.NonCurrent,First.Payment.Default,Occupant,Assignment.Type,Location,Built.up,Growth,Property.Values,Demand.Supply,Marketing.Time,Units,Type,Condition,Rent.Own,Full.or.Part.Time.investor,Classifier,MR.UPB,MR.LV,MR.VFS,MR.APP,MR.MCSP,LV.VFS,APP.VFS,UPB.VFS,logloanscore
757,1423679,500,Bridgeport,CT,2.3,M,62010,813,62010,0,135000,0.15,0.689,507,N,N,N,N,N,N,Y,N,N,Y,N,N,1,2,2.02,117.03,113,3,90000,145900,4,103000,150000,14,7,3.1,5230,90000,83336.33,135000,222800,137520.89,7141.65,3030,4,0,0,0.67,7.33,6.67,0,1,2,115995,98338.29,103545.64,44,54.14,84.49,108686.87,145000,172400,59.68,20,27,0.96,2758.4029,28.0904,0,0.14,0.3,1,82000,-315,2,9,2,0,2000,80000,345000,2. 25-34,"6. >$60,000",2015 Q1,Third Party Lending,6 Month,Purchase,Sub Prime,Current,OK,vacant,Purchase Transaction,suburban,Over 75%,stable,stable,in balance,Under 3 mths,1,det.,c4,Rent,PT,Good,0.048863087,0.022444444,0.03695122,0.022444444,0.029262459,1.646341463,1.646341463,0.756219512,2.079441542
758,1423702,500,Adamsville,AL,146.25,M,25000,417.87,25000,0,46000,0.15,0.54348,606,N,N,N,N,N,Y,N,N,N,N,N,N,0,1,0.6,110.81,38,6,35900,69900,13,30000,55000,7,3,2,1786,40690.58,29076.85,46000,77523,42387.41,705.14,870,9,2,2,1.5,0.67,0.67,10,12,6,37125,43754,43500,48,11,53,63950,63788,48700,270,170,106,0.73,92,0.84,6.67,17.91,8.96,0,36000,2743,30,20,10,0,0,5000,70000,4. 45-54,"3. $20,000-$29,999",2015 Q1,Third Party Lending,6 Month,Refi-Cashout,Prime,Current,OK,vacant,Refinance Transaction,suburban,25-75%,stable,stable,in balance,3-6 mths,1,det.,c4,Own,FT,Good,0.0348,0.018913043,0.024166667,0.018913043,0.02,1.277777778,1.277777778,0.694444444,2.079441542
759,1423712,500,Akron,OH,2.79,F,29284.28,143,29500,1,55000,0.15,0.53636,667,N,N,N,N,N,Y,N,N,N,N,N,Y,0,4,0.98,78,67,18,44000,65000,5,41000,59000,5,3,1,1180,49512.86,22336.17,55000,110531,57444.5,809.5,640,2,2,1,0.33,0.67,0.33,8,14,18,51250,48000,59000,6,106,55,56400,54900,54875,276,159,135,0.95,87.43,1,24.24,20.9,54.55,1,46000,5290,8,19,3,0,600,0,60000,4. 45-54,"3. $20,000-$29,999",2015 Q1,Third Party Lending,10 Yr,Refi-Cashout,Prime,Current,OK,tenant,Refinance Transaction,urban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c3,Rent,PT,Good,0.021694915,0.011636364,0.013913043,0.011636364,0.010847458,1.195652174,1.195652174,0.641304348,2.079441542
760,1423722,500,Monee,IL,13.73,F,75032.83,705,75260,0,142000,0.18,0.53,99,N,N,N,N,Y,N,N,N,N,N,N,N,1,1,2,70,12,5,89000,160000,13,66000,143000,6,3,2.1,1808,127221.07,129900,142000,164872,145647.18,4517.47,1670,8,4,1,1.33,1.33,0.33,6,6,5,132000,122500,131900,45,55,193,139900,129950,135900,81,137,249,0.95,96,1,4.51,4.51,15.15,1,131000,24800,2,2,1,0,1650,0,0,4. 45-54,"6. >$60,000",2015 Q1,Third Party Lending,10 Yr,Refi-Cashout,Prime,Current,OK,tenant,Refinance Transaction,suburban,Over 75%,stable,increasing,in balance,Under 3 mths,1,att.,c3,Rent,FT,Good,0.022189742,0.011760563,0.012748092,0.011760563,0.012661107,1.083969466,1.083969466,0.574503817,2.079441542
761,1423724,500,Jacksonville,FL,64.49,F,42400,134,42400,0,130000,0.15,0.32615,470,N,N,N,N,N,N,N,N,N,N,N,N,1.83,4.59,2.9933,113.95,39,6.49,99962.38,173034.99,10.63,87067.93,160893.59,6,4,2,2078,103876.63,100,130000,140831.97,119981.59,12554.36,1090,5.94,3.53,2.62,0.928,1.1037,0.9335,2.96,2.87,4.94,114162.61,112844.87,107934.08,101.25,91.01,103.92,97903.11,120898.16,119672.2,135.44,116.2,76.04,0.8673,1004.5793,0.8951,0,0,0,0.58,92000,-13003,11,9,3,0,1000,60000,310000,5. 55-64,"5. $40,000-$49,999",2015 Q2,Third Party Lending,6 Month,Refi-Cashout,Sub Prime,Current,OK,vacant,Refinance Transaction,suburban,Over 75%,stable,stable,in balance,Over 6 mths,1,det.,c6,Own,PT,Good,0.025707547,0.008384615,0.011847826,0.008384615,0.010098757,1.413043478,1.413043478,0.460869565,2.079441542
762,1423740,500,Lansdowne,PA,2.14,F,37826,335,37826,0,65000,0.15,0.689,488,N,N,N,N,N,Y,Y,N,N,N,N,N,3,4,1.01,199,113,44,23000,197000,42,25000,174970,9,6,3,2851,54900,1241,64000,81294,73108.86,4000.79,1610,23,13,10,3.83,4.33,3.33,11,13,5,72000,77000,73000,87,84,96,78000,82000,79000,216,142,75,0.92,94,0.92,2.87,3,1.5,1,50000,-5770,0,1,0,0,0,30000,120000,2. 25-34,"4. $30,000-$39,000",2015 Q1,Third Party Lending,6 Month,Purchase,Sub Prime,Current,OK,vacant,Purchase Transaction,urban,Over 75%,stable,stable,in balance,Over 6 mths,1,S-Det./End Unit,c5,Own,PT,Good,0.042563316,0.024769231,0.0322,0.02515625,0.022054795,1.3,1.28,0.75652,2.079441542
763,1423745,500,Baltimore,MD,374.18,M,38690,549.11,38690,0,73000,0.18,0.53,559,N,N,N,N,N,N,N,N,N,N,N,N,1.54,3.47,1.3019,57,85,31,14000,229900,50,4500,279500,6,3,1,1116,58519.49,28871.96,73000,87851,79796.12,2721.55,1130,23,15,12,3.83,5,4,22,28,31,65001,24000,50500,21,33,33,32450,108250,119900,70,96,72,0.99,100,0.97,5.74,5.6,7.75,1,51000,-49,0,0,1,0,1500,25000,0,2. 25-34,"4. $30,000-$39,000",2015 Q1,Third Party Lending,10 Yr,Refi-Cashout,Sub Prime,Current,Default,tenant,Refinance Transaction,urban,Over 75%,stable,stable,in balance,Under 3 mths,1,att.,c4,Own,PT,Good,0.029206513,0.015479452,0.022156863,0.015479452,0.022376238,1.431372549,1.431372549,0.758627451,2.079441542
764,1423748,500,Cincinnati,OH,3.37,M,50400,241,50400,0,1.00E+05,0.15,0.504,688,N,N,N,N,N,N,Y,N,N,N,N,N,0,4,0.42,93.83,53,5,82000,148500,12,47000,219000,6,3,2,1102,85520.14,37951.32,1.00E+05,101355,110667.45,1769.86,840,8,1,3,1.33,0.33,1,9,11,5,67500,102000,77000,44,51,96,102500,107500,99950,158,158,120,0.94,94.88,0.96,6.77,33.33,5,0,94000,25633,3,4,5,0,800,0,71000,4. 45-54,"5. $50,000-$59,000",2015 Q2,Third Party Lending,10 Yr,Refi-Cashout,Prime,Current,OK,tenant,Refinance Transaction,suburban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c3,Own,PT,Good,0.016666667,0.0084,0.00893617,0.0084,0.010909091,1.063829787,1.063829787,0.536170213,2.079441542
765,1423750,500,Glenarden,MD,2.25,F,62540,128,62540,0,118000,0.15,0.53,617,N,N,N,N,N,N,N,N,N,N,N,Y,0,3,0.97,67.57,37,1,136000,136000,7,75000,134059,6,3,1.1,996,110035.8,50000,118000,113600,143660.32,3699.38,1330,4,3,0,0.67,1,0,2.81,2.69,1,103450,118500,0,23,5,0,103585.38,131659.94,136000,123.61,101.27,14,1.19,127.68,0,3.8619,2.6155,0,0,105000,25905,4,12,3,0,1875,30000,275000,4. 45-54,"6. >$60,000",2015 Q1,Third Party Lending,6 Month,Refi-Cashout,Prime,Current,OK,vacant,Refinance Transaction,suburban,Over 75%,stable,increasing,in balance,Under 3 mths,1,det.,c5,Rent,PT,Good,0.02126639,0.011271186,0.012666667,0.011271186,0,1.123809524,1.123809524,0.595619048,2.079441542
766,1423751,500,Atlanta,GA,14.1,M,57200,225,57200,0,110000,0.13,0.52,767,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0.52,62,65,34,10000,350000,96,10000,189900,5,3,1,1170,87617.08,37039.65,110000,111105,116201.47,1584.22,820,44,27,25,7.33,9,8.33,20,25,34,35500,60000,48400,42,47,46,61450,77000,65000,45,48,61,0.89,103.63,0.88,2.73,2.78,4.08,1,86000,16897,50,5,5,0,1200,0,115000,3. 35-44,"5. $50,000-$59,000",2015 Q1,Third Party Lending,6 Month,Refi-Cashout,Prime,Current,OK,vacant,Refinance Transaction,urban,25-75%,stable,stable,in balance,3-6 mths,1,det.,c2,Own,FT,Good,0.014335664,0.007454545,0.009534884,0.007454545,0.016942149,1.279069767,1.279069767,0.665116279,2.079441542
767,1423755,500,Charlotte,NC,6.9,F,82588.7,74,82680,0,136000,0.18,0.689,539,N,N,N,N,N,N,N,Y,N,N,N,N,0,2,0.97,30,41,3,109500,155000,12,1.00E+05,172000,7,3,2.1,1968,120000,75761.1,136000,146600,132404.17,2407.18,1220,5,3,4,0.83,1,1.33,2,4,3,170500,136000,158300,102,101,78,112500,143950,115000,66,55,30,1,97,0.99,2.41,4,2.26,1,102000,2042,5,7,4,0,1275,0,0,3. 35-44,"6. >$60,000",2015 Q1,Third Party Lending,15 Yr,Purchase,Sub Prime,Current,OK,vacant,Purchase Transaction,suburban,Over 75%,stable,stable,shortage,Under 3 mths,1,det.,c5,Rent,FT,Good,0.014755685,0.008970588,0.011960784,0.008970588,0.007706886,1.333333333,1.333333333,0.810588235,2.079441542
768,1423776,500,Capitol Heights,MD,8.09,F,91413.23,455.49,91690,0,173000,0.18,0.53,575,Y,N,N,N,N,Y,N,Y,N,N,N,N,1,10,1.06,96.29,76,13,130000,2.00E+05,20,129000,203000,6,3,1,1309,160453.4,74409.22,173000,176461,168430.15,2431.73,1560,10,5,5,1.67,1.67,1.67,12.71,12.35,12.15,173000,194000,154499,53,53,75,177255.18,193932.62,191630.26,111.33,103.08,81.43,0.97,95.79,0.97,10.3987,7.7551,8.2342,0,168000,54626,0,25,3,0,1650,0,135000,4. 45-54,"6. >$60,000",2015 Q1,Third Party Lending,10 Yr,Refi-Cashout,Sub Prime,Current,OK,tenant,Refinance Transaction,suburban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c3,Own,PT,Good,0.017013851,0.009017341,0.009285714,0.009017341,0.010097153,1.029761905,1.029761905,0.54577381,2.079441542
769,1423784,500,Wellington,OH,2.69,M,31883.73,196,32000,0,1.00E+05,0.15,0.32,692,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0.91,91.72,66,9,84900,149000,20,84000,144900,10,3,1.1,2126,102976.4,22500,1.00E+05,154564,122969.27,3177.24,1179.9,10,8,2,1.67,2.67,0.67,7,6,9,121450,94000,115700,76,109,130,124900,135950,129900,174,172,102,0.92,98.48,0.99,4.19,2.25,13.43,1,98000,53739,30,10,6,0,950,5000,0,3. 35-44,"4. $30,000-$39,000",2015 Q1,Third Party Lending,10 Yr,Refi-Cashout,Prime,Current,OK,vacant,Refinance Transaction,suburban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c4,Own,FT,Good,0.036871875,0.011799,0.012039796,0.011799,0.010197926,1.020408163,1.020408163,0.326530612,2.079441542
770,1423825,500,Zion,IL,8.48,F,74329.83,197,74412,0,110000,0.18,0.689,540,N,N,N,N,N,N,Y,N,N,Y,N,Y,3,3,1.09,8,10,6,116600,185000,23,110000,160000,7,3,2.1,1816,108000,77648.54,110000,159526,138935.93,2630.68,1460,7,12,4,1.17,4,1.33,9,8,6,147000,152000,163450,62,52,32,152500,149900,169950,117,58,43,0.98,100,0.97,7.69,2,4.51,1,108000,9159,1,8,1,0,1650,0,0,4. 45-54,"6. >$60,000",2015 Q1,Third Party Lending,15 Yr,Purchase,Sub Prime,Current,OK,vacant,Purchase Transaction,suburban,Over 75%,stable,stable,over supply,3-6 mths,1,det.,c4,Rent,PT,Good,0.019620491,0.013272727,0.013518519,0.013272727,0.008932395,1.018518519,1.018518519,0.689,2.079441542
771,1423829,500,Lansing,MI,5.72,M,27350,243,27350,0,46000,0.15,0.70128,608,N,N,N,N,N,N,N,N,N,N,N,N,4,3,1.3981,65.42,51,26,19900,119900,46,3200,85000,5,3,1,960,39000,30375,46000,50700,53063.18,1899.29,760,27,13,6,4.5,4.33,2,36.14,27.22,26,32000,47500,34450,49,43,21,53310.07,50254.28,58950,75.25,91.16,52,0.93,95.5,1,9.4692,6.8731,13,1,38000,1648,5,3,4,0,799,2000,75000,2. 25-34,"3. $20,000-$29,999",2015 Q1,Third Party Lending,6 Month,Purchase,Prime,Current,OK,vacant,Purchase Transaction,suburban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c3,Own,PT,Good,0.027787934,0.016521739,0.02,0.016521739,0.022060958,1.210526316,1.210526316,0.719736842,2.079441542
773,1423858,500,Tamarac,FL,0.19,F,48000,871.57,48000,0,132000,0.13,0.36364,776,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0.94,118.7,43,11,59200,185000,58,54500,185000,6,2,2,1583,118052.36,58471.4,132000,132577,135799.64,3584.39,1350,24,19,15,4,6.33,5,46.48,38.26,30.26,110000,120000,125000,36,73,35,129399.37,146709.26,150603.29,64.12,132.71,388.73,1,97.14,0.94,9.6184,8.0803,6.3545,1,132000,67442,3,15,2,0,1300,5000,145000,6. 65+,"5. $40,000-$49,999",2015 Q1,Third Party Lending,6 Month,Refi-Cashout,Prime,Current,OK,vacant,Refinance Transaction,suburban,Over 75%,stable,increasing,in balance,Under 3 mths,1,det.,c4,Own,PT,Good,0.028125,0.010227273,0.010227273,0.010227273,0.0108,1,1,0.363636364,2.079441542
774,1423867,500,Newark,OH,5.19,M,25075,605.18,25075,0,36000,0.15,0.70634,581,N,N,N,N,N,N,N,N,N,N,N,N,2,5,1.4997,83,85,7,29900,154900,11,9000,145000,7,4,2,2040,36000,41854.91,36000,83323,61336.55,7565.66,1190,6,2,1,1,0.67,0.33,6,8,8,73250,88250,149900,21,184,40,83700,83700,86400,222,153,150,0.97,98,1,6,11.94,24.24,1,26000,-12101,0,1,0,0,850,15000,0,4. 45-54,"3. $20,000-$29,999",2015 Q1,Third Party Lending,6 Month,Purchase,Prime,Current,OK,vacant,Purchase Transaction,suburban,25-75%,stable,stable,in balance,3-6 mths,1,det.,c5,Rent,PT,Good,0.047457627,0.033055556,0.045769231,0.033055556,0.007938626,1.384615385,1.384615385,0.964423077,2.079441542
775,1423869,500,Salisbury,MD,0.38,M,42800.41,1079,42930,0,81000,0.18,0.53,513,Y,N,N,N,N,N,N,N,N,N,N,N,1,6,1.38,129.77,95,2,65000,79500,0,0,0,8,3,2,1990,76815.73,45000,81000,130900,95230.44,1546.91,1300,0,0,0,0,0,0,1.9,494.55,2,0,0,0,0,0,0,67239.61,41153.45,0,247.49,130.6,0,0,0,0,2.2048,0.8234,0,0,72000,15965,7,15,3,0,1000,8000,150000,4. 45-54,"5. $40,000-$49,999",2015 Q1,Third Party Lending,10 Yr,Refi-Cashout,Sub Prime,Current,OK,tenant,Refinance Transaction,suburban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c4,Rent,PT,Good,0.030281854,0.016049383,0.018055556,0.016049383,0,1.125,1.125,0.59625,2.079441542
776,1423871,500,Jackson,MS,8.09,F,20750,1101.76,20750,0,37500,0.14,0.55333,626,N,N,N,N,N,N,N,N,N,N,N,Y,0,0,0.99,366,65,0,0,0,0,0,0,5,2,2,1240,39262.52,25882.07,37500,84237,40070.02,2329.9,660,27.13,13.47,11.47,4.0576,3.4543,4.643,18.57,15.87,19.1,26837.73,35380.78,35162.01,93.74,110.51,94.32,40786.24,40717.71,34427.61,176.54,134.85,73.2,0.6834,83.1058,0.7544,0,0,0,0,32000,4437,7,8,7,0,750,0,0,3. 35-44,"3. $20,000-$29,999",2015 Q1,Third Party Lending,6 Month,Refi-Cashout,Prime,Current,OK,tenant,Refinance Transaction,urban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c4,Own,FT,Good,0.031807229,0.0176,0.020625,0.0176,0.018770258,1.171875,1.171875,0.6484375,2.079441542
777,1423885,500,Columbus,GA,604.79,M,37500,582.57,37500,0,71000,0.11,0.52817,706,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0.79,117.16,67,13,40000,97500,22,6000,95000,8,2,1.1,1561,55861.84,28581.88,71000,78618,70911.88,2109,580,13,5,4,2.17,1.67,1.33,19,16.16,13,28000,20000,16250,156,82,126,67785.48,65485.23,75000,181.45,159.65,108,0.76,91.54,0.67,11.9449,10.8573,9.77,1,53000,6241,2,5,2,0,800,0,120000,4. 45-54,"4. $30,000-$39,000",2015 Q2,Third Party Lending,6 Month,Refi-Cashout,Prime,Current,OK,tenant,Refinance Transaction,suburban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c3,Rent,PT,Good,0.015466667,0.008169014,0.010943396,0.008169014,0.035692308,1.339622642,1.339622642,0.70754717,2.079441542
778,1423886,500,Porter,TX,0.12,F,53871.25,337,54080,0,104000,0.14,0.52,702,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0.55,98.19,42,2,85000,165000,11,85000,120000,7,3,2,1422,90595.74,69000,104000,106131,120011.94,1848.51,1430,5,2,4,0.83,0.67,1.33,4.82,4.65,2,95000,96550,101535,48,4,24,93737.23,115073.81,119900,98.8,104.45,109,0.95,99,0.97,6.6261,6.5745,1.5,0,94000,31806,3,1,3,0,1500,0,1.00E+05,4. 45-54,"5. $50,000-$59,000",2015 Q1,Third Party Lending,10 Yr,Refi-Cashout,Prime,Current,OK,tenant,Refinance Transaction,suburban,Over 75%,stable,stable,in balance,Under 3 mths,1,det.,c3,Own,PT,Good,0.026442308,0.01375,0.015212766,0.01375,0.014083813,1.106382979,1.106382979,0.575319149,2.079441542
779,1423904,500,Sarasota,FL,5.61,M,56755.85,296,57200,0,110000,0.14,0.52,743,N,N,N,N,N,N,N,N,N,N,N,N,0,1,2.09,71,38,3,165000,185000,5,160000,180000,5,2,2,1096,103876.89,77000,110000,135000,140967.67,2950.27,1097.2,80,40,31,13.33,13.33,10.33,19,13,17,126500,128500,140000,35,22,54,156900,139900,125000,85,72,20,0.98,101,1,1.43,0.98,1.65,1,91000,11258,23.08,13.71,9.87,-3.24E-15,849.14,15830,151728,4. 45-54,"5. $50,000-$59,000",2015 Q1,Third Party Lending,10 Yr,Refi-Cashout,Prime,Current,OK,tenant,Refinance Transaction,suburban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c4,Own,PT,Good,0.019181818,0.009974545,0.012057143,0.009974545,0.007837143,1.208791209,1.208791209,0.628571429,2.079441542
780,1423905,500,Charlotte,NC,0.7,M,36406.77,858.38,36517,0,65000,0.18,0.689,99,N,N,N,N,N,N,N,N,N,N,N,N,0,2,5.9871,51,60,37,47680,225000,266,23000,340000,6,3,2,1258,53000,53259.83,65000,62866,82917.13,3352.81,1030,90,89,87,15,29.67,29,139.45,124.27,37,139514,136548,136468,84,61,74,145370,142243,142119,137.46,128.48,159,0.96,95.7,0.96,8.9101,6.609,1.28,0,53000,6307,1,20,1,0,700,0,0,5. 55-64,"4. $30,000-$39,000",2015 Q1,Third Party Lending,10 Yr,Purchase,Prime,Current,OK,tenant,Purchase Transaction,suburban,25-75%,stable,stable,in balance,Under 3 mths,1,det.,c3,Own,FT,Good,0.028206041,0.015846154,0.019433962,0.015846154,0.007547557,1.226415094,1.226415094,0.689,2.079441542
781,1423911,500,Anderson,SC,22.76,M,36445.4,111,36500,0,68000,0.15,0.53676,677,N,N,N,N,N,N,N,N,N,Y,N,N,0,0,0.86,72,65,9,61900,99900,15,62500,85000,6,3,2,1677,58844.55,32500,68000,110200,72804.33,1372.89,950,6,4,5,1,1.33,1.7,10,6,9,83750,70250,75500,20,84,121,85000,70000,89900,190,190,146,0.96,93.61,0.94,10,4.51,5.29,0,59000,12391,3,2,5,0,675,0,0,5. 55-64,"4. $30,000-$39,000",2015 Q1,Third Party Lending,15 Yr,Refi-Cashout,Prime,Current,OK,vacant,Refinance Transaction,suburban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c4,Own,FT,Good,0.026027397,0.013970588,0.016101695,0.013970588,0.012582781,1.152542373,1.152542373,0.618644068,2.079441542
783,1423927,500,Baltimore City,MD,6.07,M,37895,494.01,37895,0,60000,0.15,0.689,604,N,N,N,N,N,N,N,N,N,N,N,Y,0,2,0.49,81.54,92,8,75000,245000,10,50000,250000,6,2,2,1580,59995.57,49250.89,60000,146291,78872.47,3126.33,1060,22.82,11.62,11.09,3.325,3.0327,3.2404,8.29,7.64,9.64,81553.09,83543.33,93197.09,65.97,56.49,68.05,78950.69,100593.77,105801.65,137.52,113.57,62.68,0.8807,91.6492,0.8968,0,0,0,0.58,54000,2095,1,15,0,0,0,20000,170000,3. 35-44,"4. $30,000-$39,000",2015 Q1,Third Party Lending,6 Month,Purchase,Prime,Current,OK,vacant,Purchase Transaction,urban,Over 75%,stable,stable,in balance,3-6 mths,2,det.,c4,Rent,PT,Good,0.027972028,0.017666667,0.01962963,0.017666667,0.011373746,1.111111111,1.111111111,0.701759259,2.079441542
784,1423953,500,Belton,MO,14.55,M,25968,108,25968,0,37000,0.14,0.70424,633,Y,Y,N,N,N,N,N,N,N,N,N,N,1,0,0.85,36,57,26,35000,550000,83,8000,228000,5,3,1.1,1031,36874,51430.2,37000,41276,68301.91,2795.68,850,9,13,6,1.5,4.33,2,13,12,11,124000,112000,109950,16,44,71,121000,114900,114950,36,80,95,0.99,100,0.98,8.67,2.77,5.5,0,19000,-14692,4,7,3,0,0,20000,130000,4. 45-54,"3. $20,000-$29,999",2015 Q1,Third Party Lending,6 Month,Purchase,Prime,Current,OK,tenant,Purchase Transaction,suburban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c5,Own,FT,Good,0.032732594,0.022972973,0.044736842,0.022972973,0.007730787,1.947368421,1.947368421,1.366736842,2.079441542
785,1423959,500,Columbus,GA,2091.14,M,37853.32,489,38000,0,72000,0.14,0.52778,717,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0.82,127.69,26,27,35000,120000,58,23100,115900,6,3,2,1160,61144.52,55000,72000,79022,71155.87,2647.5,740,22,18,18,3.67,6,6,44.58,39.79,27,76250,49256,40300,173,68,71,82683.55,77670.99,94900,176.06,134.85,112,0.97,93.03,1,9.4963,6.5904,4.5,1,64000,17857,9,10,9,0,750,0,0,3. 35-44,"4. $30,000-$39,000",2015 Q1,Third Party Lending,10 Yr,Refi-Cashout,Prime,Current,OK,tenant,Refinance Transaction,suburban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c3,Rent,PT,Good,0.019473684,0.010277778,0.0115625,0.010277778,0.018362283,1.125,1.125,0.59375,2.079441542
786,1424004,500,Torrington,CT,3.79,M,54080,503,54080,0,116000,0.13,0.676,703,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0.46,84,16,10,79900,174900,21,74000,177000,6,3,2,1227,80000,108418,116000,146343,119453.43,3118.47,1230,11,8,2,1.83,2.67,0.67,10,9,10,145000,130250,79500,35,58,131,131950,106200,142200,189,185,102,0.94,94,0.88,5.46,3.37,14.93,0,70000,32,1,2,1,0,1300,20000,135000,5. 55-64,"5. $50,000-$59,000",2015 Q1,Third Party Lending,6 Month,Purchase,Prime,Current,OK,vacant,Purchase Transaction,suburban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c4,Own,PT,Good,0.022744083,0.010603448,0.017571429,0.010603448,0.015471698,1.657142857,1.657142857,0.772571429,2.079441542
787,1424015,500,Willowick,OH,4.39,F,47000,377.06,47000,0,95000,0.13,0.49474,735,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0.68,95.67,61,3,80000,103000,6,80000,103000,5,3,1,1092,79617.32,46478.5,95000,99981,97873.93,1709.61,970,7,2,4,1.17,0.67,1.33,6,3,3,92000,102250,99750,71,59,95,104950,106900,109900,93,123,43,0.97,97.47,0.9,5.13,4.48,2.26,0,86000,22241,3,7,5,0,1000,0,0,2. 25-34,"5. $40,000-$49,999",2015 Q1,Third Party Lending,6 Month,Refi-Cashout,Prime,Current,OK,tenant,Refinance Transaction,suburban,Over 75%,stable,stable,in balance,Over 6 mths,1,det.,c4,Own,FT,Good,0.020638298,0.010210526,0.01127907,0.010210526,0.009724311,1.104651163,1.104651163,0.546511628,2.079441542
788,1424021,500,Waycross,GA,0.82,M,48300,266,48300,0,92000,0.14,0.525,630,N,N,N,N,N,N,N,N,N,N,N,N,0,4,0.89,108.85,50,7,72000,119000,6,74400,118500,7,4,2,1920,83783.97,41002.72,92000,124820,94489.29,2247.31,1020.6,3,3,0,0.5,1,0,3.2,4.56,7,83000,88250,0,93,38,0,90352.08,113690.62,99000,151.12,130.09,138,0.99,98.75,0,6.0771,4.5965,0,0,90000,30207,24,5,24,0,1000,0,175000,3. 35-44,"5. $40,000-$49,999",2015 Q1,Third Party Lending,6 Month,Refi-Cashout,Prime,Current,OK,tenant,Refinance Transaction,suburban,25-75%,stable,stable,in balance,3-6 mths,1,det.,c2,Own,FT,Good,0.021130435,0.011093478,0.01134,0.011093478,0,1.022222222,1.022222222,0.536666667,2.079441542
